Country;Health Expenditure;Under-five mortality rate;Life expectancy at birth;Health index;Expected Years of Schooling;Mean years of schooling;Education index;GDP per capita;GNI per capita;Income index;Loss due to inequality in life expectancy;Loss due to inequality in education;Loss due to inequality in income;Inequality-adjusted education index;Inequality-adjusted life expectancy index;Inequality-adjusted income index;Inequality-adjusted HDI value;Female male-ratio with at least secondary education;Adolescent fertility rate;Female-male ratio in Labour force;Gender Inequality Index;female-male ratio in parliament;Maternal mortality ratio;POLPRIS;TORT;DOMMOV;SPEECH;NEW_RELFRE;WORKER;WECON;HDI
Brunei Darussalam;1,9;7;78;0,915;14,1;8,6;0,733;;45753;0,877;5,8;;;;0,862;;;1,089;20,8;0,798;;;21;POLPRIS2;TORT2;DOMMOV1;SPEECH0;NEW_RELFRE0;WORKER0;WECON1;0,838
Estonia;4,1;6;74,8;0,865;15,7;12;0,916;16132;16799;0,734;6;2,7;14,5;0,891;0,813;0,627;0,769;0,998;12,6;0,794;0,194;;12;POLPRIS2;TORT1;DOMMOV2;SPEECH2;NEW_RELFRE2;WORKER1;WECON2;0,835
Slovakia;5,2;7;75,4;0,875;14,9;11,6;0,875;19202;19998;0,759;5,7;1,6;9,6;0,861;0,825;0,686;0,787;0,927;12,3;0,747;0,194;0,19;6;POLPRIS2;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE1;WORKER1;WECON1;0,834
Malta;5,8;7;79,6;0,941;14,4;9,9;0,797;21987;21460;0,769;5,1;;;;0,892;;;0,876;12;0,468;0,272;0,095;8;POLPRIS2;TORT1;DOMMOV2;SPEECH2;NEW_RELFRE2;WORKER1;WECON2;0,832
Qatar;2,9;11;78,4;0,921;12;7,3;0,623;82978;107721;1;7,2;;;;0,854;;;1,136;14,9;0,537;0,549;0,001;8;POLPRIS2;TORT2;DOMMOV0;SPEECH0;NEW_RELFRE0;WORKER0;WECON1;0,831
Hungary;5,2;6;74,4;0,858;15,3;11,1;0,866;16896;16581;0,732;5,7;4;11,2;0,831;0,809;0,65;0,759;0,964;10;0,724;0,237;0,1;13;POLPRIS2;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE2;WORKER1;WECON1;0,816
Poland;4,6;7;76,1;0,885;15,3;10;0,822;16705;17451;0,739;5,8;6,6;16,3;0,768;0,834;0,619;0,734;0,95;9;0,747;0,164;0,217;6;POLPRIS2;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE2;WORKER0;WECON1;0,813
Lithuania;4,5;6;72,2;0,824;16,1;10,9;0,883;15011;16234;0,729;7,2;4,1;17,5;0,847;0,765;0,601;0,73;0,96;12;0,809;0,192;0,237;13;POLPRIS2;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE2;WORKER1;WECON2;0,81
Portugal;7,1;4;79,5;0,938;15,9;7,7;0,739;21370;20573;0,763;4,9;5,6;19,3;0,697;0,893;0,616;0,726;0,965;8,8;0,809;0,14;0,377;7;POLPRIS2;TORT1;DOMMOV2;SPEECH2;NEW_RELFRE2;WORKER1;WECON2;0,809
Bahrain;2,6;12;75,1;0,868;13,4;9,4;0,747;;28169;0,808;6,2;;;;0,815;;;0,926;14,8;0,381;0,288;0,176;19;POLPRIS1;TORT1;DOMMOV2;SPEECH0;NEW_RELFRE1;WORKER1;WECON1;0,806
Latvia;3,6;8;73,3;0,841;15;11,5;0,873;12847;14293;0,711;7,1;3,8;21;0,84;0,782;0,561;0,717;0,986;9,6;0,773;0,216;0,25;20;POLPRIS1;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE1;WORKER1;WECON1;0,805
Chile;3,7;9;79,1;0,932;14,7;9,7;0,797;13057;13329;0,701;6,6;13,7;34,1;0,688;0,871;0,462;0,652;0,965;54,1;0,57;0,374;0,162;26;POLPRIS1;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE2;WORKER1;WECON1;0,805
Argentina;5,1;14;75,9;0,882;15,8;9,3;0,806;13202;14527;0,713;9,7;12,1;34,4;0,708;0,796;0,468;0,641;1,038;51,6;0,669;0,372;0,608;70;POLPRIS1;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE2;WORKER1;WECON1;0,797
Croatia;6,6;5;76,6;0,893;13,9;9,8;0,778;16338;15729;0,724;5,5;10,4;27,8;0,697;0,844;0,523;0,675;0,794;11,9;0,766;0,17;0,308;14;POLPRIS2;TORT2;DOMMOV2;SPEECH1;NEW_RELFRE2;WORKER1;WECON1;0,796
Barbados;4,4;11;76,8;0,896;13,4;9,3;0,747;;17966;0,743;9,2;;;;0,814;;;1,022;39;0,843;0,364;0,244;64;POLPRIS1;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE2;WORKER2;WECON2;0,793
Uruguay;5,9;13;77;0,899;15,5;8,5;0,763;11977;13242;0,7;9,3;10,8;27,8;0,681;0,815;0,505;0,654;1,095;57,2;0,713;0,352;0,171;27;POLPRIS2;TORT2;DOMMOV2;SPEECH2;NEW_RELFRE2;WORKER1;WECON1;0,783
Palau;8,5;15;71,8;0,817;14,7;12,1;0,89;;9744;0,656;;;;;;;;;11,9;;;0,074;;POLPRIS2;TORT2;DOMMOV2;SPEECH2;NEW_RELFRE2;WORKER1;WECON3;0,782
